lat,lon,n,name
45.4077172,11.8734455,1,Padua
39.23054,9.11917,1,Cagliari
-12.9822499,-38.4812772,1,Salvador
40.7944504,-77.8616386,1,State College
31.2322758,121.4692071,1,Shanghai
34.022405,-6.834543,1,Rabat
27.9477595,-82.458444,1,Tampa
-33.4377756,-70.6504502,1,Santiago
-12.0621065,-77.0365256,1,Lima
48.8566969,2.3514616,10,Paris
23.1372362,-82.3764766,1,Havana
25.7741728,-80.19362,1,Miami
40.7127281,-74.0060152,3,New York
51.5073219,-0.1276474,4,London
43.3624715,-1.7003017,2,Urrugne
41.3828939,2.1774322,2,Barcelona
44.6458885,10.9255707,1,Modena
45.46427,9.18951,2,Milan
25.0375198,121.5636796,1,Taipei
33.6251241,130.6180016,1,Fukuoka Prefecture
-37.8142176,144.9631608,1,Melbourne
-8.4560181,115.2703855,1,La Habana
59.938732,30.316229,1,Saint Petersburg
55.6867243,12.5700724,1,Copenhagen
26.8353707,33.9420625,1,Soma Bay
52.5170365,13.3888599,1,Berlin
48.1371079,11.5753822,2,Munich
43.2961743,5.3699525,1,Marseille
44.8178131,20.4568974,1,Belgrade
44.1118716,9.9587463,1,Sarzana
40.8359336,14.2487826,3,Naples
34.0536909,-118.242766,3,Los Angeles
41.8933203,12.4829321,10,Rome
44.40726,8.9338624,1,Genoa
37.3886303,-5.9953403,1,Seville
